"Timestamp","GODIŠTE","POL","NAJVIŠI OSTVARENI NIVO KVALIFIKACIJE","GODINA UPISA","GODINA UPISA NA OSNOVNE STUDIJE","GODINA DIPLOMIRANJA","GODINA UPISA NA MASTER STUDIJE","GODINA DIPLOMIRANJA","GODINA UPISA NA DOKTORSKE STUDIJE","GODINA DIPLOMIRANJA","PROSEČNA OCENA TOKOM OSNOVNIH STUDIJA","PROCENJENI NIVO AKTUELNOG POZNAVANJA NEMAČKOG JEZIKA","POZNAVANJE DRUGIH JEZIKA (upisati jezik i procenjeni nivo znanja)","DA LI STE SE STRUČNO USAVRŠAVALI NAKON STUDIJA (U ZEMLJI ILI INOSTRANSTVU) I NA KOJI NAČIN","STEPEN STRUČNE SPREME OCA","STEPEN STRUČNE SPREME MAJKE","RAZLOZI ZA IZBOR STUDIJA GERMANISTIKE (moguć višestruki izbor)","UKOLIKO STE ODABRALI DRUGO, NAVEDITE ŠTA TAČNO","RAZLOZI ZA STUDIJE GERMANISTIKE UPRAVO U BEOGRADU","KOJI JE VAŠ TRENUTNI RADNI STATUS","VRSTA POSLA","NAPISATI PRIBLIŽNO VRSTU POSLA","NAPISATI PRIBLIŽNO KOJI POSAO","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo u pogledu sadržaja i vrste poslovnih aktivnosti]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo u pogledu mogućnosti napredovanja u struci]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo u pogledu mogućnosti stručnog usavršavanja]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo primanjima]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo radnom atmosferom i međuljudskim odnosima]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo mogućnošću učenja od starijih kolega i razmene iskustava]","OCENITE STEPEN ZADOVOLJSTVA SVOJIM TRENUTNIM POSLOM /RADNIM MESTOM [Zadovoljstvo količinom slobodnog vremena za nesmetan privatni život]","OCENITE STEPEN ZNAČAJA KOJI PRIDAJETE RADU U STRUCI","OCENITE GENERALNI STEPEN ZADOVOLJSTVA SVOJIM STUDIJAMA","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Sadržaji su bili adekvatno birani]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Sadržaji su bili adekvatno obrađivani]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Sadržaji su se pokazali relevantnim za moj poziv]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Mogućnost kombinovanja izbornih predmeta je omogućila individualno filološko profilisanje]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Profesori/lektori su bili stručni]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Profesori/lektori su dobro prenosili znanja]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Profesori/lektori su primenjivali adekvatne nastavne metode i tehnike]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Nastavni sadržaji različitih predmeta su bili međusobno usklađeni]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Opšti prostorni uslovi rada su bili dobri]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Radna atmosfera je bila podsticajna]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Ritam rada je odgovarao sposobnostima studenata]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Procenjeno radno opterećenje (broj kredita po predmetu) odgovaralo je činjeničnom stanju]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Odnosi među studentima su bili pozitivni]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Biblioteka je pružala dobre mogućnosti za rad]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Biblioteka je opremljena relevantnom literaturom za nastavu i ispite]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Na studijama su se ponavljali sadržaji (iz prethodnog školovanja, sa prethodnih godina studija)]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Na ispitima su se zahtevala samo ona znanja/oni sadržaji koji su prethodno bili predmet nastave]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Ocenjivanje na ispitu je bilo realno i objektivno]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su omogućavale individualni izbor sadržaja, prema ličnim potrebama i interesovanjima]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Na studijama su dominirali teorijski sadržaji]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su omogućavale dovoljan udeo praktičnih predmeta/sadržaja]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije adekvatno priremaju za budući poziv]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Stečeno znanje nemačkog jezika je dovoljno za izabrani poziv]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su omogućavale slobodnu razmenu mišljenja]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su doprinele razvijanju radnih navika]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su omogućile sticanje interdisciplinarnih znanja]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su obuhvatale adekvatan fond časova na nedeljnom/godišnjem nivou]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Studije su omogućile ili podsticale na učenje drugih stranih jezika]","OCENITE STEPEN ZADOVOLJSTVA POJEDINAČNIM ASPEKTIMA SVOJIH STUDIJA [Odnos broja studenata i broja predavača  je bio adekvatan]","OCENITE STEPEN POVEZANOSTI STUDIJSKIH SADRŽAJA I VAŠEG POSLA [Na svom radnom mestu primenjujem sadržaje naučene na studijama]","OCENITE STEPEN POVEZANOSTI STUDIJSKIH SADRŽAJA I VAŠEG POSLA [Na radnom mestu primenjujem kompetencije i principe rada usvojene na studijama (soft skills)]","OCENITE STEPEN POVEZANOSTI STUDIJSKIH SADRŽAJA I VAŠEG POSLA [Na radnom mestu dosta učim od starijih i iskusnijih kolega]","OCENITE STEPEN POVEZANOSTI STUDIJSKIH SADRŽAJA I VAŠEG POSLA [Na radnom mestu sam prepušten(a) samom/samoj sebi, ne dobijam pomoć kolega]","DA LI POSTOJE SADRŽAJI KOJI SU VAM NEDOSTAJALI NA STUDIJAMA, S OBZIROM NA POSAO KOJI DANAS OBAVLJATE","- u oblasti savremenog nemačkog jezika ","- u oblasti književnosti ","- u oblasti prevođenja ","- u oblasti didaktike/metodike nastave nemačkog jezika ","- u drugim filološkim oblastima ","- u drugim nefilološkim oblastima ","- u pogledu drugih veština i znanja potrebnih za svakodnevno obavljanje posla (npr. rad na računaru, informacione tehnologije, korespondencija, organizacija rada, timski rad...) ","DA LI POSTOJE SADRŽAJI KOJI SU VAM NA STUDIJAMA BILI SUVIŠNI, S OBZIROM NA POSAO KOJI DANAS OBAVLJATE","NAVEDITE SADRŽAJE KOJI SU VAM NA STUDIJAMA BILI SUVIŠNI, S OBZIROM NA POSAO KOJI DANAS OBAVLJATE","KOJE PROMENE BI TREBALO SPROVESTI NA STUDIJAMA GERMANISTIKE","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Ciljevi učenja su bili transparentni]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavanja i vežbe su bili dobro strukturisani]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Sadržaji su motivisali na učenje]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su umeli da motivišu na rad i učenje]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su bili obučeni da umešno prenose i najkomplikovanije sadržaje]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su uspostavljali prijatnu atmosferu]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su koristili adekvatne nastavne tehnike i metode]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su bili osposobljeni za korišćenje savremenih sredstava rada i medija]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su podsticali na samostalan rad]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su ekonomično koristili raspoloživo nastavno vreme]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su bili upućeni u savremene tokove svoje struke]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su referisali o sopstvenim istraživanjima i rezultatima]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su upućivali na sopstvene publikacije i naučne radove]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Na nastavi je korišćen interesantan materijal]","PROCENITE KVALITET PREDAVANJA/PREDAVAČA [Predavači su bili upućeni u korišćenje novih medija (internet, smart phones, aplikacije, platforme)]","DA LI BI KATEDRA ZA GERMANISTIKU TREBALO DA PRUŽA MOGUĆNOSTI ZA USAVRŠAVANJE I NAKON ZAVRŠENIH STUDIJA","Dajte kratak opis","Navedite mogućnosti za stručno usavršavanje koje biste rado koristili na svojoj katedri","DA LI SMATRATE POTREBNIM UVOĐENJE ALUMNI MREŽE ILI NEKOG DRUGOG VIDA KONTAKTA IZMEĐU BIVŠIH STUDENATA",""
"2018/06/06 12:32:43 PM GMT+2","1986","Ž","osnovne studije","","2005","2010","","","","","između 7 i 8","C1","engleski B1,ruski A1","da,na seminarima u svajcarskoj i austriji,firma je slala","magistratura","fakultetska diploma","interesovanje za nastavnički poziv;inspiracija na koju su uticali srednjoškolski nastavnici","","specifičan obrazovni profil","rad u struci","nastava","","","5","5","5","5","5","5","5","5","3","3","3","5","1","5","4","4","3","1","1","1","1","4","3","2","4","1","3","1","3","2","1","4","2","1","2","2","2","2","3","3","5","1","Da","vise vezbi pre svega konverzacije ","vise analiza,kako bi bile primenjive i u nastavi jezika.","ne zanima me ta oblast","manje teorije,vise prakse,vise ideja","nista","turizam","nista","Da","teorija knjizevnosti,socijalna ekologija","vise stranih lektora,ograniciti upis na primer od nivoa B1 ","3","4","3","4","3","3","3","2","2","3","4","3","3","3","1","Da","workshops na razlicite sadrzaje","","Ne znam","vise prakse"
"2018/06/06 1:01:32 PM GMT+2","1974","Ž","osnovne studije","","1992","2013","","","","","između 7 i 8","C2","engleski","Hueber Seminar, Beograd","srednja stručna škola","srednja stručna škola","interesovanje za strani jezik;interesovanje za maternji jezik;interesovanje za književnost;interesovanje za nastavnički poziv;inspiracija na koju su uticali srednjoškolski nastavnici;uverenje da ću stići široko opšte obrazovanje;pretpostavka o sopstvenom talentu","","visok ugled institucije","rad u struci","nastava","","","4","3","3","2","4","2","4","3","4","3","3","4","2","3","3","3","3","3","3","2","3","4","3","3","3","3","4","4","3","2","2","4","3","3","4","3","3","3","3","3","2","5","Ne","","","","","","","","Ne","","usavršavanje i nakon studija","4","4","3","3","4","3","3","3","3","4","3","3","3","4","3","Da","iiiii","","Ne znam",""
"2018/06/06 1:14:36 PM GMT+2","1986. ","Ž","osnovne studije","","2004","2010","","","","","između 7 i 8","C2","Engleski- B2/C1","Da, stipendija za razmenu studenata. ","fakultetska diploma","gimanzija (matura)","interesovanje za strani jezik;interesovanje za maternji jezik;interesovanje za književnost;interesovanje za nastavnički poziv;interesovanje za književno-prevodilački poziv;Ljubav. ","Ljubav prema nemačkom jeziku. ","visok ugled institucije","rad u struci","nastava","","","5","5","5","5","5","5","4","5","4","4","4","3","1","5","3","3","4","3","4","3","1","4","4","5","3","3","4","1","4","2","3","5","5","5","3","4","3","2","5","4","5","1","Da","Posmatrajući iz ove perspektive, više vežbi i seminara za savremeni nemački jezik uvek je dobrodošlo.  ","Metodika i didaktika književnosti, definitivno. Ako se već bavimo nemačkom književnošću, bilo bi lepo naučiti kako to znanje preneti đacima. ","Više stručnih tekstova. ","Više prakse i prilike da se u toku studija primeni teorijsko znanje, ogledni časovi, više hospitovanja.  ","-","- ","-","Da","Možda istorija jezika. Lepo je znati, ali oduzelo je previše vremena. ","Možda je u međuvremenu to promenjeno, ali tehnike pisanje stručnih radova je bio jedan od predmeta koji mi je nedostajao tokom studija.  ","5","4","5","4","4","4","3","3","4","3","4","1","2","4","4","Da","Meni je znanje stečeno na faklutetu koristilo i koristim ga u svakodnevnom radu. Da je bilo više prakse, bilo bi još bolje...","","Da","Više prakse i prilike da se u toku studija primeni teorijsko znanje, ogledni časovi, više hospitovanja.  "
"2018/06/06 1:15:09 PM GMT+2","1991","Ž","osnovne studije","","2009","2013","","","","","između 7 i 8","C1","engleski - C1; španski - A2"," ne","fakultetska diploma","fakultetska diploma","interesovanje za strani jezik;interesovanje za stručno-prevodilački poziv;inspiracija na koju su uticali srednjoškolski nastavnici;deficitarnost zanimanja, dobri izgledi za nalaženje posla;uverenje da su filološke studije lake/lakše od nekih drugih","","privlačnost (atraktivnost) glavnog grada","rad izvan struke, u kojem se zahteva/koristi nemački jezik","","spoljna trgovina","","4","3","3","4","4","3","2","2","3","3","4","3","2","5","5","4","3","3","4","3","3","4","4","3","4","4","4","2","4","2","3","5","4","4","3","4","5","4","2","3","4","1","Da","govorni jezik","ne koristim u praksi","više praktične korespondencije","ne koristim u praksi","drugi strani jezik","spoljna trgovina;logistika","IT ","Da","metodika, književnost, teorijska lingvistika","više prakse","4","5","4","4","5","4","4","4","4","4","5","4","4","5","4","Da","specijalističke studije za poslovne konakte s nemačkim govornim područjem","","Ne znam","ne koristim u praksi "
"2018/06/06 1:30:48 PM GMT+2","1994","Ž","osnovne studije","","2013","2013","","","","","između 9 i 10","C1","engleski jezik B1, grčki jezik A1, holandski jezik A1","Upisala sam master studije koje još nisam završila. ","srednja stručna škola","srednja stručna škola","interesovanje za strani jezik;interesovanje za maternji jezik;interesovanje za nastavnički poziv;interesovanje za stručno-prevodilački poziv;intersovanje za konsekutivno ili simultano prevođenje;dobro poznavanje stranog jezika;inspiracija na koju su uticali srednjoškolski nastavnici;pretpostavka o sopstvenom talentu","","visok ugled institucije","rad u struci","nastava","","","4","3","4","5","4","3","3","4","4","4","4","4","4","5","5","5","4","3","4","4","3","3","4","3","5","4","4","4","4","4","4","3","4","5","5","4","5","4","5","5","4","2","Da","Odlično koncipiran predmet! Eventualno više mogućnosti za stipendije na nemačkom govornom području.","Više znanja iz oblasti savremene nemačke književnosti.","Ovladavanje nekim prevodilačkim programima. Prvi put smo se sa tim susreli tek na praksi.","Kako da radimo sa problematičnom i nemotivisanom, kao i apsolutno netalentovanom decom.","Svakako je falilo akademsko pisanje od početka studija.","menadžement;administrativno poslovanje","Organizacija rada i vremena, timski rad, držanje prezentacija.","Da","Suvišni su nam bili predmeti na prvoj godini koje smo morali da uzmemo zbog ESPB bodova, ali mislim da je u novoj akreditaciji to bolje regulisano.","Književnost bi trebalo da bude bolje organizovana, da se krene od nekog uvoda i perioda bližeg studentima jer je sa oskudnim znanjem jezika na prvoj godini zaista teško savladiva.","5","5","4","5","4","5","4","4","5","4","5","5","3","5","5","Da","Smatram da su studije germanistike u Beogradu izuzetno korisne i zaista sam zadovoljna znanjima i veštinama koje sam stekla. Od savremenog jezika, koji je meni bio najzahtevniji, preko gramatike, prevođenja i didaktike mogu samo da istaknem pozitivne strane. Većina profesora su zaista izuzetni pedagozi i predavači od kojih smo mogli mnogo da naučimo, a posebno to što su nas podsticali da budemo samostalni i da neprestano radimo na sebi.","","Da",""
"2018/06/06 1:53:21 PM GMT+2","1990","Ž","bez diplome","2009","","","","","","","između 7 i 8","C2","Engleski c1 spanski a2","Ne","fakultetska diploma","srednja stručna škola","interesovanje za književnost;dobro poznavanje stranog jezika;podsticaj/nagovor porodice, prijatelja, nastavnika","","specifičan obrazovni profil;privlačnost (atraktivnost) glavnog grada","rad u struci","nastava","","","4","1","1","2","5","5","3","1","1","2","2","1","1","3","2","2","2","2","2","2","2","4","1","1","3","1","3","1","5","1","1","1","1","1","3","1","2","1","2","1","5","1","Da","Sve po malo","Strucnost profesora","","Razvijanje i vezbanje metoda ","Sve po malo","","Sve","Da","Vecina izbornih predmeta, bolje poznavanje govornog jezika","Bolji raspored, uvesti prave knjige za predavanje, za svaki predmet, zameniti odredjene profesore ili im bar dati vecu platu da im bude draze sto dolaze na posao","1","2","1","1","1","1","1","1","3","1","1","1","1","1","2","Da","Da nudi nesto sto zapravo moze biti od koristi u daljem zivotu i traganju za poslu. Prakse, kurseve, prakticne delove, ne opet samo ispite i teoriju","","Ne znam",""
"2018/06/06 2:04:55 PM GMT+2","1993","Ž","bez diplome","2012","","","","","","","između 7 i 8","C1","ruski A1, španski A2, engleski B2, persijski A1, arapski A1","ne","diploma više škole","fakultetska diploma","pretpostavka o sopstvenom talentu","","visok ugled institucije","rad u struci","nastava","","","3","2","4","2","5","3","2","4","2","4","2","1","4","2","2","2","1","4","3","1","2","4","2","5","1","1","1","1","3","3","2","3","4","3","4","2","5","1","2","1","1","4","Ne","","","","","","","","Da","Iako su neki sadržaji bili suvišni, mislim da mi je svakako korisno za ooštu kulturu ( istorija jezika) ","aktivno učestovanje studenata na svakom času (vise diskusija sa manjim grupama); nemačka književnost - veće zalaganje profesora, ne suvoparno čitanje  sa interneta, na vežbama rad da studentima i obrađivanje dela zajedno sa svim pojedinostima ne samo čitanje seminarskih. ","3","3","3","2","4","4","2","4","2","4","4","2","2","3","2","Da","takođe bi studentima trebalo omogućiti odlazak u neku od zemalja nemačkog govor područja tokom studija, kako većina nije u prilici da priušti sebi odlazak. Razmena studenata bi bila jedna od opcija, za najbolje studente stipendija da odu na jedan semestar... ","","Ne znam",""
"2018/06/06 2:06:21 PM GMT+2","1991","Ž","osnovne studije","","2010","2015","","","","","između 7 i 8","C1","engleski B2","ne","fakultetska diploma","fakultetska diploma","interesovanje za književnost","","blizina porodice/prijatelja","rad u struci","nastava","","","5","3","4","3","5","4","5","4","1","1","1","1","1","1","1","1","1","1","1","1","2","3","3","3","2","1","1","1","5","1","1","2","1","2","3","3","4","3","2","2","2","4","Da","","posleratna knjizevnost","","kako popuniti dnevnik","","","","Da","Vecina izbornih predmeta, npr. neohelenistika","Trebalo bi promeniti sve iz korena","2","1","1","1","1","1","2","3","1","1","3","2","4","3","3","Ne","","stipendije u inostranstvu","Ne znam",""
"2018/06/06 2:11:06 PM GMT+2","1991","Ž","master studije","","","","2013","2014","","","između 8 i 9","C2","švedski A2; katalonski B2; engleski C1","ne","diploma više škole","fakultetska diploma","interesovanje za strani jezik;interesovanje za nastavnički poziv;interesovanje za književno-prevodilački poziv;deficitarnost zanimanja, dobri izgledi za nalaženje posla","","visok ugled institucije;specifičan obrazovni profil","rad u struci","nastava","","","5","5","5","5","3","5","3","4","3","2","2","3","1","3","3","3","1","2","1","4","1","2","5","4","2","1","1","1","5","2","2","2","1","1","1","2","5","1","2","1","3","2","Da","Relevantniji i aktuelniji sadržaji. Recimo da je ukupno godinu dana bilo odlično, ostale 2-3 nikako.","/","/","Više ideja za nastavu.","Gramatika je bila sasvim dovoljno detaljna.","menadžement","Rad na računaru, koristila bi obuka za pravljenje sopstvenih materijala. ","Da","Kompletna kulturna istorija, 50% književnosti, ono što je trebalo da bude pragmatika, skoro svi izborni predmenti uključujući mnogobrojne lingvistike i folklore.","Prvo, relevantnost sadržaja - uči se bespotrebno mnogo (često zastarelih) stvari koje se kasnije ne koriste. Drugo, predavači. Ima sjajnih ljudi koji su jedini zaslužni za to što se nešto nauči, ali je realno oko 60% zaposlenih na germanistici tu bez dovoljnih kvalifikacija/sposobnosti da prenesu znanje i zaista su užasni. Takođe je potrebna kontrola istih, da ne dolazi do njihove samovolje i bahatosti. Treće bi bilo ustanoviti nivo jezika potreban za studije. Ako se pušta samo ozbiljniji nivo poput B2, evtl. B1, onda neka se samo to i pušta. Ako se puštaju i niži nivoi, to je takođe ok, ali se onda studije i predavači moraju prilagoditi, a ne praviti se ludi kako studenti nemaju pojma.

Ocene dole su uvek srednje jer je jedan deo predavača zaista sjajan i zaslužuje maksimum, ali je ostatak toliko skandalozan da bi im trebalo dati 0.","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Da","Opis ocena sa prethodne strane je taj da je pola predavača odlično, a pola kriminalno, zbog toga srednja ocena.","","Da",""
"2018/06/06 2:21:01 PM GMT+2","1993","M","osnovne studije","","2012","2017","","","","","između 8 i 9","C1","Engleski - C1, Norveski - B1, Madjarski - A2, Italijanski - A2","Ne.","srednja stručna škola","magistratura","interesovanje za strani jezik;interesovanje za književnost;interesovanje za stručno-prevodilački poziv;intersovanje za konsekutivno ili simultano prevođenje;dobro poznavanje stranog jezika;inspiracija na koju su uticali srednjoškolski nastavnici;pretpostavka o sopstvenom talentu","","blizina porodice/prijatelja","rad u struci","aktivnost u kojoj se upražnjava nemački jezik","","","3","2","3","5","4","2","2","4","1","2","2","1","1","3","3","2","1","2","1","2","2","3","3","4","4","4","3","1","4","2","1","1","1","1","1","2","2","2","1","1","2","3","Ne","","","","","","","","Ne","","Katedra za germanistiku se s jedne strane mora potpuno uskladiti nastavi kakva se odvija na univerzitetima na Zapadu. S druge strane su metode zastarele i svodi se na ucenje napamet.","2","2","2","2","2","2","2","2","2","2","2","1","4","2","1","Da","Cega?","","Ne",""
